subject_id,game_master,treatment,session,ll_E,post_E,ll_L1,post_L1,ll_L2,post_L2,ll_L3,post_L3,ll_D1,post_D1,ll_D2,post_D2,ll_S,post_S,t_hat,posterior_entropy,max_posterior,w_deep,cat,margin_L1_L2,margin_L2_L3
02_09,8,Baseline,2,-64.90562040680209,9.168574213900328e-09,-74.46184799692796,6.48761238896765e-13,-46.39814867247535,0.9999876878734066,-69.19496482002462,1.257370292040262e-10,-58.36113949376262,6.375786299104536e-06,-58.43912124047999,5.897483165359942e-06,-63.734906732461305,2.9562168857685837e-08,L2,0.00016028219228515897,0.9999876878734066,0.999993624213052,deep,-0.9999876878727578,0.9999876877476697
02_09,9,Baseline,2,-63.774257448018446,1.8719739681700985e-07,-72.44268816258787,3.218460467287871e-11,-48.28331766782625,0.999837614486499,-68.21468730723456,2.2072199861048635e-09,-57.72532361029455,7.9308254620345e-05,-57.68150001846357,8.286110800952585e-05,-65.72123073488278,2.6714069420039323e-08,L2,0.0016933819854159818,0.999837614486499,0.9999206917131948,deep,-0.9998376144543144,0.999837612279279
02_09,10,Baseline,2,-65.03885943305791,5.5461591684769263e-08,-72.81645873290068,2.3239344330315974e-11,-48.33132973630289,0.9999546003043197,-67.59388944390817,4.308805539136844e-09,-58.72354652494917,3.066887720613121e-05,-59.716192010313414,1.1365732224201379e-05,-60.95126988758114,3.305292613381128e-06,L2,0.0005362384316797174,0.9999546003043197,0.9999693310995545,deep,-0.9999546002810804,0.9999545959955142
02_09,11,Baseline,2,-63.16923124504228,3.377217301034437e-07,-70.42873297145435,2.3757320920296817e-10,-48.268390208751995,0.9997974925325183,-66.78331168752231,9.098793571751345e-09,-57.507603915631094,9.713427728133303e-05,-57.43016101492298,0.00010495558113245134,-64.73511807397222,7.05509711593566e-08,L2,0.00206791910972683,0.9997974925325183,0.9999028654851456,deep,-0.9997974922949451,0.9997974834337247
02_09,12,Baseline,2,-65.05671528617336,5.105784760251429e-08,-69.9349713052144,3.885642425347249e-10,-48.2668706601731,0.99953815238413,-66.36727599326494,1.3768708941452145e-08,-56.282062013493025,0.00033025241312627387,-57.204736355400556,0.0001312603700737725,-63.392670073192136,2.696175489938961e-07,L2,0.00428737121821171,0.99953815238413,0.9996697471983093,deep,-0.9995381519955657,0.9995381386154211
02_09,13,Baseline,2,-65.42045355469776,4.1890596402360533e-08,-73.15714239535139,1.8285855007010692e-11,-48.43227094623811,0.9999781439541611,-69.79843024073406,5.257574397122405e-10,-59.63705590589657,1.360862444363721e-05,-60.1446038764327,8.19198118453649e-06,-66.59013714103332,1.3005570762515945e-08,L2,0.0002712446902122432,0.9999781439541611,0.9999863913572702,deep,-0.9999781439358753,0.9999781434284036
02_09,14,Baseline,2,-63.256532962209,6.2309333529555e-08,-74.41727078200279,8.861479903250021e-13,-46.66538428570968,0.9999940700263306,-70.0942126531536,6.683232151205211e-11,-59.473166988418946,2.739353449621118e-06,-59.34154173634453,3.1247278060731504e-06,-66.13150171415448,3.515361899294796e-09,L2,8.172838089995238e-05,0.9999940700263306,0.9999972606456644,deep,-0.9999940700254444,0.9999940699594982
02_09,15,Baseline,2,-65.74921123359024,2.68260166353003e-08,-72.24937323002365,4.032475180586164e-11,-48.31544954143548,0.9998680505127153,-68.78214055609662,1.2923249255320315e-09,-57.66805241778055,8.672790798743644e-05,-58.3206126606469,4.5160168956430736e-05,-65.53447829110092,3.3251674578192254e-08,L2,0.0013959923866532326,0.9998680505127153,0.9999132720516878,deep,-0.9998680504723906,0.9998680492203904
02_09,16,Baseline,2,-63.2990060682703,3.109629676038362e-07,-71.73111109675975,6.771610777538717e-11,-48.31544954143548,0.999964520378224,-67.69116230677012,3.847861699813133e-09,-59.04379093888901,2.19141748366453e-05,-59.55133890942514,1.3191671846038571e-05,-64.96289741604318,5.889654805638342e-08,L2,0.0004245191148216922,0.999964520378224,0.9999780857574474,deep,-0.999964520310508,0.9999645165303623
02_10,1,Baseline,2,-61.436903122363915,5.273045029412796e-05,-66.86144659379492,2.3238718946545122e-07,-62.49942923975583,1.822268006577841e-05,-56.357196819392065,0.008475198858448666,-60.64532944763494,0.00011636906878006019,-56.55367927283141,0.006963356846984781,-51.60233514240912,0.984373889708237,S,0.09229888549913849,0.984373889708237,0.9998833985440304,deep,-1.799029287631296e-05,-0.008456976178382888
02_10,2,Baseline,2,-61.27362084504809,0.0005341078659407699,-70.26890789826898,6.622553015368427e-08,-60.53548210182019,0.0011173739882457407,-56.927751599838025,0.04121127075395474,-59.85868865597883,0.0021984987142161846,-56.584354716920174,0.05809668839399826,-53.847583683550816,0.896841994058114,S,0.4194662323117814,0.896841994058114,0.9978014350602535,deep,-0.001117307762715587,-0.040093896765709
02_10,3,Baseline,2,-60.99529217068846,0.0004120134830146114,-70.157178505279,4.3246876839596736e-08,-61.602963481619646,0.00022438981022689848,-56.63803740753541,0.032154601253518725,-59.74695926298886,0.0014356729633583718,-56.26322637761305,0.04677582869713283,-53.285309618093336,0.9189974505458718,S,0.3458926390771512,0.9189974505458718,0.9985642837897649,deep,-0.00022434656335005887,-0.03193021144329183
02_10,4,Baseline,2,-60.36770659830911,0.0023835782671684127,-70.34287330315281,1.1093524861833878e-07,-62.13692965090252,0.0004063175751278398,-56.312242682304515,0.13756090275961252,-60.85412334214334,0.001465484769424362,-56.191179683978106,0.1552644429141953,-54.68106753424311,0.702919162779223,S,0.8369982841260566,0.702919162779223,0.998534404295327,deep,-0.00040620663987922143,-0.13715458518448467
02_10,5,Baseline,2,-60.273656539091014,0.0007228758969593508,-70.614753646471,2.3333631430720906e-08,-61.48734071294003,0.00021476692781757515,-55.91640177593796,0.056415110623171776,-60.20453440418084,0.0007746100118698879,-55.54159074601561,0.08206799175127406,-53.192433638325745,0.8598046214552759,S,0.509846036901288,0.8598046214552759,0.9992253666544987,deep,-0.00021474359418614442,-0.0562003436953542
02_10,6,Baseline,2,-60.855284417423334,0.00011589166112837415,-68.42184604078085,5.997030089136845e-08,-62.068968591272345,3.443149249395461e-05,-56.49802965427028,0.009044485935084397,-60.09317207356669,0.00024833239290999835,-56.12321862434793,0.01315716284016548,-51.8152893252287,0.9773996357079169,S,0.12535014505754233,0.9773996357079169,0.9997516076367892,deep,-3.4371522193063245e-05,-0.009010054442590442
02_10,7,Baseline,2,-59.52939600308483,0.003395872600250704,-68.6586310412909,3.682773316128346e-07,-62.08042057934736,0.000264883857363387,-55.172141239931776,0.2650227088926088,-59.58971351815,0.0031970970878203984,-54.94942756615377,0.3311360075841977,-54.76806314214587,0.39698306170042746,S,1.1245340335147427,0.39698306170042746,0.996802534634848,deep,-0.00026451558003177413,-0.2647578250352454
02_10,8,Baseline,2,-59.52939600308483,0.003395872600250704,-68.6586310412909,3.682773316128346e-07,-62.08042057934736,0.000264883857363387,-55.172141239931776,0.2650227088926088,-59.58971351815,0.0031970970878203984,-54.94942756615377,0.3311360075841977,-54.76806314214587,0.39698306170042746,S,1.1245340335147427,0.39698306170042746,0.996802534634848,deep,-0.00026451558003177413,-0.2647578250352454
02_10,9,Baseline,2,-59.552853809720595,0.0029283814754095657,-70.58915231220882,4.716546393157745e-08,-60.67580604967994,0.0009526550843407626,-55.3466844925611,0.19649150328403867,-60.40567231120919,0.0012481112036190382,-55.19135709067683,0.2295099978053874,-54.28365296914061,0.5688693039817407,S,1.010469875738818,0.5688693039817407,0.9987518416309171,deep,-0.000952607918876831,-0.1955388481996979
02_10,10,Baseline,2,-56.712504670622145,0.010014271907067213,-69.86632837418217,1.9408247811361326e-08,-58.9090997724975,0.0011133975144368717,-56.5406049748938,0.011892535827829016,-58.41494736242533,0.0018249791721136977,-53.2763679772687,0.3111104393477978,-52.518166987165436,0.6640443568225076,S,0.7530082850977018,0.6640443568225076,0.9981750014196386,deep,-0.0011133781061890603,-0.010779138313392144
